Date,5Yr,7Yr,10Yr,20Yr,30Yr,Date_WTI,WTI_Closing_Price
2003-01-02,1.75,2.24,2.43,N/A,N/A,2003-01-02,31.850000381469727
2003-01-03,1.75,2.25,2.43,N/A,N/A,2003-01-03,33.08000183105469
2003-01-06,1.79,2.27,2.46,N/A,N/A,2003-01-06,32.099998474121094
2003-01-07,1.76,2.24,2.42,N/A,N/A,2003-01-07,31.07999992370605
2003-01-08,1.68,2.14,2.29,N/A,N/A,2003-01-08,30.559999465942383
2003-01-09,1.82,2.23,2.41,N/A,N/A,2003-01-09,31.989999771118164
2003-01-10,1.8,2.22,2.41,N/A,N/A,2003-01-10,31.68000030517578
2003-01-13,1.77,2.2,2.38,N/A,N/A,2003-01-13,32.2599983215332
2003-01-14,1.72,2.13,2.34,N/A,N/A,2003-01-14,32.369998931884766
2003-01-15,1.69,2.1,2.3,N/A,N/A,2003-01-15,33.20000076293945
2003-01-16,1.71,2.14,2.31,N/A,N/A,2003-01-16,33.65999984741211
2003-01-17,1.6,2.06,2.25,N/A,N/A,2003-01-17,33.90999984741211
2003-01-21,1.62,2.05,2.23,N/A,N/A,2003-01-21,34.61000061035156
2003-01-22,1.6,2.04,2.23,N/A,N/A,2003-01-22,32.849998474121094
2003-01-23,1.55,2.0,2.2,N/A,N/A,2003-01-23,32.25
2003-01-24,1.47,1.93,2.14,N/A,N/A,2003-01-24,33.279998779296875
2003-01-27,1.5,1.94,2.16,N/A,N/A,2003-01-27,32.290000915527344
2003-01-28,1.52,1.98,2.19,N/A,N/A,2003-01-28,32.66999816894531
2003-01-29,1.55,1.98,2.21,N/A,N/A,2003-01-29,33.630001068115234
2003-01-30,1.56,2.0,2.2,N/A,N/A,2003-01-30,33.849998474121094
2003-01-31,1.53,1.97,2.19,N/A,N/A,2003-01-31,33.5099983215332
2003-02-03,1.53,2.0,2.2,N/A,N/A,2003-02-03,32.7599983215332
2003-02-04,1.45,1.9,2.12,N/A,N/A,2003-02-04,33.58000183105469
2003-02-05,1.46,1.91,2.12,N/A,N/A,2003-02-05,33.93000030517578
2003-02-06,1.4,1.85,2.09,N/A,N/A,2003-02-06,34.15999984741211
2003-02-07,1.37,1.84,2.07,N/A,N/A,2003-02-07,35.119998931884766
2003-02-10,1.37,1.84,2.06,N/A,N/A,2003-02-10,34.47999954223633
2003-02-11,1.38,1.84,2.05,N/A,N/A,2003-02-11,35.439998626708984
2003-02-12,1.32,1.79,2.04,N/A,N/A,2003-02-12,35.77000045776367
2003-02-13,1.29,1.76,2.01,N/A,N/A,2003-02-13,36.36000061035156
2003-02-14,1.29,1.78,2.03,N/A,N/A,2003-02-14,36.79999923706055
2003-02-18,1.29,1.78,2.05,N/A,N/A,2003-02-18,36.959999084472656
2003-02-19,1.25,1.75,1.99,N/A,N/A,2003-02-19,37.15999984741211
2003-02-20,1.13,1.64,1.91,N/A,N/A,2003-02-20,36.790000915527344
2003-02-21,1.13,1.64,1.93,N/A,N/A,2003-02-21,35.58000183105469
2003-02-24,1.04,1.59,1.87,N/A,N/A,2003-02-24,36.47999954223633
2003-02-25,1.0,1.53,1.84,N/A,N/A,2003-02-25,36.060001373291016
2003-02-26,1.01,1.55,1.84,N/A,N/A,2003-02-26,37.70000076293945
2003-02-27,0.98,1.54,1.82,N/A,N/A,2003-02-27,37.20000076293945
2003-02-28,0.94,1.48,1.77,N/A,N/A,2003-02-28,36.59999847412109
2003-03-03,0.93,1.47,1.77,N/A,N/A,2003-03-03,35.880001068115234
2003-03-04,0.9,1.45,1.77,N/A,N/A,2003-03-04,36.88999938964844
2003-03-05,0.9,1.44,1.75,N/A,N/A,2003-03-05,36.68999862670898
2003-03-06,0.9,1.43,1.74,N/A,N/A,2003-03-06,37.0
2003-03-07,0.82,1.39,1.72,N/A,N/A,2003-03-07,37.77999877929688
2003-03-10,0.79,1.36,1.69,N/A,N/A,2003-03-10,37.27000045776367
2003-03-11,0.78,1.34,1.68,N/A,N/A,2003-03-11,36.720001220703125
2003-03-12,0.78,1.34,1.68,N/A,N/A,2003-03-12,37.83000183105469
2003-03-13,0.88,1.43,1.73,N/A,N/A,2003-03-13,36.0099983215332
2003-03-14,1.15,1.52,1.89,N/A,N/A,2003-03-14,35.380001068115234
2003-03-17,1.15,1.6,1.97,N/A,N/A,2003-03-17,34.93000030517578
2003-03-18,1.3,1.72,2.08,N/A,N/A,2003-03-18,31.670000076293945
2003-03-19,1.39,1.81,2.15,N/A,N/A,2003-03-19,29.8799991607666
2003-03-20,1.35,1.85,2.2,N/A,N/A,2003-03-20,28.61000061035156
2003-03-21,1.42,1.94,2.29,N/A,N/A,2003-03-21,26.90999984741211
2003-03-24,1.32,1.83,2.18,N/A,N/A,2003-03-24,28.65999984741211
2003-03-25,1.33,1.81,2.17,N/A,N/A,2003-03-25,27.96999931335449
2003-03-26,1.29,1.81,2.15,N/A,N/A,2003-03-26,28.6299991607666
2003-03-27,1.21,1.75,2.1,N/A,N/A,2003-03-27,30.3700008392334
2003-03-28,1.14,1.72,2.09,N/A,N/A,2003-03-28,30.15999984741211
2003-03-31,1.13,1.66,2.03,N/A,N/A,2003-03-31,31.040000915527344
2003-04-01,1.14,1.63,2.02,N/A,N/A,2003-04-01,29.780000686645508
2003-04-02,1.23,1.74,2.11,N/A,N/A,2003-04-02,28.559999465942383
2003-04-03,1.23,1.74,2.12,N/A,N/A,2003-04-03,28.96999931335449
2003-04-04,1.25,1.75,2.16,N/A,N/A,2003-04-04,28.6200008392334
2003-04-07,1.38,1.86,2.21,N/A,N/A,2003-04-07,27.959999084472656
2003-04-08,1.34,1.8,2.18,N/A,N/A,2003-04-08,28.0
2003-04-09,1.32,1.81,2.13,N/A,N/A,2003-04-09,28.850000381469727
2003-04-10,1.25,1.82,2.16,N/A,N/A,2003-04-10,27.459999084472656
2003-04-11,1.33,1.86,2.23,N/A,N/A,2003-04-11,28.13999938964844
2003-04-14,1.36,1.87,2.22,N/A,N/A,2003-04-14,28.6299991607666
2003-04-15,1.34,1.86,2.18,N/A,N/A,2003-04-15,29.290000915527344
2003-04-16,1.37,1.86,2.2,N/A,N/A,2003-04-16,29.18000030517578
